symbol,name,sector,subsector,industry,subindustry,board
HOME,Hotel Mandarine Regency Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pemantauan Khusus
HOMI,PT Grand House Mulia Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
HOPE,PT Harapan Duta Pertiwi Tbk.,Perindustrian,Barang Perindustrian,Mesin,Mesin Konstruksi & Kendaraan Berat,Pengembangan
HOTL,Saraswati Griya Lestari Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pemantauan Khusus
HRME,PT Menteng Heritage Realty Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pemantauan Khusus
HRTA,PT Hartadinata Abadi Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas",Utama
HRUM,Harum Energy Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Utama
HUMI,PT Humpuss Maritim Internasional Tbk,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,Pengembangan
HYGN,PT Ecocare Indo Pasifik Tbk.,Perindustrian,Jasa Perindustrian,Jasa Komersial,Jasa Pengelolaan Lingkungan & Sarana,Pengembangan
IATA,PT Karya Pacific Energy Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Pengembangan
IBFN,PT Intan Baru Prana Tbk,Perindustrian,Barang Perindustrian,Mesin,Mesin Konstruksi & Kendaraan Berat,Pemantauan Khusus
IBOS,PT Indo Boga Sukses Tbk,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Akselerasi
IBST,Inti Bangun Sejahtera Tbk,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,Pemantauan Khusus
ICBP,Indofood CBP Sukses Makmur Tbk,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Utama
ICON,Island Concepts Indonesia Tbk,Perindustrian,Jasa Perindustrian,Jasa Komersial,Jasa Pendukung Bisnis,Pengembangan
IDEA,PT Idea Indonesia Akademi Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pendidikan & Jasa Penunjang,Jasa Pendidikan,Akselerasi
IDPR,PT Indonesia Pondasi Raya Tbk.,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Pengembangan
IFII,PT Indonesia Fibreboard Industry Tbk,Barang Baku,Barang Baku,Perhutanan & Kertas,Kayu,Pengembangan
IFSH,PT Ifishdeco Tbk.,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya,Pemantauan Khusus
IGAR,Champion Pacific Indonesia Tbk,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Pengembangan
IIKP,Inti Agri Resources Tbk,Barang Konsumen Non-Primer,Barang Rekreasi,Peralatan Olah Raga & Barang Hobi,Peralatan Olah Raga & Barang Hobi,Pemantauan Khusus
IKAI,Intikeramik Alamasri Industri Tbk,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,Pemantauan Khusus
IKAN,PT Era Mandiri Cemerlang Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Pengembangan
IKBI,Sumi Indo Kabel Tbk,Perindustrian,Barang Perindustrian,Kelistrikan,Komponen & Peralatan Kelistrikan,Pengembangan
IKPM,PT Ikapharmindo Putramas Tbk.,Kesehatan,Farmasi & Riset Kesehatan,Farmasi,Farmasi,Pengembangan
IMAS,Indomobil Sukses Internasional Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Otomotif,Utama
IMJS,PT Indomobil Multi Jasa Tbk.,Transportasi & Logistik,Transportasi,Pengangkutan Darat Penumpang,Transportasi Jalanan,Pengembangan
IMPC,PT Impack Pratama Industri Tbk,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,Utama
INAF,Indofarma Tbk.,Kesehatan,Farmasi & Riset Kesehatan,Farmasi,Farmasi,Pemantauan Khusus
INAI,Indal Aluminium Industry Tbk,Barang Baku,Barang Baku,Logam & Mineral,Alumunium,Pengembangan
INCF,PT Indo Komoditi Korpora Tbk,Barang Baku,Barang Baku,Perhutanan & Kertas,Produk Hutan Lainnya,Pemantauan Khusus
INCI,Intanwijaya Internasional Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Pengembangan
INCO,Vale Indonesia Tbk,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya,Utama
INDF,Indofood Sukses Makmur Tbk,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Utama
INDO,PT Royalindo Investa Wijaya Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Jasa Real Estat,Pengembangan
INDR,PT Indo-Rama Synthetics Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Pengembangan
INDS,Indospring Tbk,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif,Pengembangan
INDX,Tanah Laut Tbk,Perindustrian,Jasa Perindustrian,Jasa Profesional,Jasa Penelitian & Konsultasi,Pengembangan
INDY,Indika Energy Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Utama
INET,PT Sinergi Inti Andalan Prima Tbk.,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi,Jasa Telekomunikasi Kabel,Pengembangan
INKP,Indah Kiat Pulp & Paper Tbk,Barang Baku,Barang Baku,Perhutanan & Kertas,Kertas,Utama
INOV,PT Inocycle Technology Group Tbk.,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Pengembangan
INPC,Bank Artha Graha Internasional Tbk,Keuangan,Bank,Bank,Bank,Utama
INPP,Indonesian Paradise Property Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
INPS,PT Indah Prakasa Sentosa Tbk.,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,Pemantauan Khusus
INRU,Toba Pulp Lestari Tbk,Barang Baku,Barang Baku,Perhutanan & Kertas,Kertas,Pemantauan Khusus
INTA,Intraco Penta Tbk,Perindustrian,Barang Perindustrian,Mesin,Mesin Konstruksi & Kendaraan Berat,Pemantauan Khusus
INTD,Inter-Delta Tbk,Barang Baku,Barang Baku,Perhutanan & Kertas,Kertas,Pengembangan
INTP,Indocement Tunggal Prakarsa Tbk,Barang Baku,Barang Baku,Material Konstruksi,Material Konstruksi,Utama
IOTF,PT Sumber Sinergi Makmur Tbk,Teknologi,Perangkat Keras & Peralatan Teknologi,"Perangkat, Instrumen & Komponen Elektronik",Perangkat & Instrumen Elektronik,Pengembangan
IPAC,PT Era Graharealty Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Akselerasi
IPCC,PT Indonesia Kendaraan Terminal Tbk.,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Pelabuhan,Utama
IPCM,PT Jasa Armada Indonesia Tbk.,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Pelabuhan,Utama
IPOL,Indopoly Swakarsa Industry Tbk,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Pengembangan
IPPE,PT Indo Pureco Pratama Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Pemantauan Khusus
IPTV,PT MNC Vision Networks Tbk.,Barang Konsumen Non-Primer,Media & Hiburan,Media,Penyiaran Berbayar,Pemantauan Khusus
IRRA,PT Itama Ranoraya Tbk.,Kesehatan,Jasa & Peralatan Kesehatan,Peralatan & Perlengkapan Kesehatan,Penyedia & Distribusi Perlengkapan Kesehatan,Pengembangan
IRSX,PT Folago Global Nusantara Tbk,Teknologi,Perangkat Lunak & Jasa TI,Perangkat Lunak,Perangkat Lunak,Pengembangan
ISAP,PT Isra Presisi Indonesia Tbk,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif,Akselerasi
ISAT,PT Indosat Tbk,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,Utama
ISEA,PT Indo American Seafoods Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Pengembangan
ISSP,PT Steel Pipe Industry of Indonesia Tbk,Barang Baku,Barang Baku,Logam & Mineral,Baja & Besi,Utama
ITIC,PT Indonesian Tobacco Tbk.,Barang Konsumen Primer,Rokok,Rokok,Rokok,Pengembangan
ITMA,SUMBER ENERGI ANDALAN Tbk,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara",Pengembangan
ITMG,Indo Tambangraya Megah Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Utama
JARR,PT Jhonlin Agro Raya Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Utama
JAST,PT Jasnita Telekomindo Tbk.,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi,Jasa Telekomunikasi Kabel,Pengembangan
JATI,PT Informasi Teknologi Indonesia Tbk.,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Pengembangan
JAWA,Jaya Agra Wattie Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Pengembangan
JAYA,PT Armada Berjaya Trans Tbk.,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,Pengembangan
JECC,Jembo Cable Company Tbk,Perindustrian,Barang Perindustrian,Kelistrikan,Komponen & Peralatan Kelistrikan,Pengembangan
JECX,PT Nitrasanata Dharma Tbk,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan,Utama
JELI,PT Niramas Utama Tbk,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Pengembangan
JGLE,PT Graha Andrasentra Propertindo Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pengembangan
JIHD,Jakarta International Hotels & Development Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Utama
JKON,Jaya Konstruksi Manggala Pratama Tbk,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Utama
JMAS,PT Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk,Keuangan,Asuransi,Asuransi,Asuransi Jiwa,Pengembangan
JPFA,JAPFA Comfeed Indonesia Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Utama
JRPT,Jaya Real Property Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Utama
JSKY,PT Sky Energy Indonesia Tbk.,Energi,Energi Alternatif,Peralatan Energi Alternatif,Peralatan Energi Alternatif,Pemantauan Khusus
JSMR,PT Jasa Marga Tbk,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Jalan Tol & Rel,Utama
JSPT,Jakarta Setiabudi Internasional Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Utama
JTPE,Jasuindo Tiga Perkasa Tbk,Perindustrian,Jasa Perindustrian,Jasa Komersial,Percetakan Komersial,Utama
KAEF,PT Kimia Farma (Persero) Tbk,Kesehatan,Farmasi & Riset Kesehatan,Farmasi,Farmasi,Pengembangan
KAQI,PT Jantra Grupo Indonesia Tbk,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif,Pengembangan
KARW,Meratus Jasa Prima Tbk,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Pelabuhan,Pemantauan Khusus
KAYU,PT Darmi Bersaudara Tbk.,Barang Baku,Barang Baku,Perhutanan & Kertas,Kayu,Pemantauan Khusus
KBAG,PT Karya Bersama Anugerah Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pemantauan Khusus
KBLI,KMI Wire and Cable Tbk,Perindustrian,Barang Perindustrian,Kelistrikan,Komponen & Peralatan Kelistrikan,Utama
KBLM,Kabelindo Murni Tbk,Perindustrian,Barang Perindustrian,Kelistrikan,Komponen & Peralatan Kelistrikan,Pengembangan
KBLV,First Media Tbk,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi,Jasa Telekomunikasi Kabel,Pengembangan
KBRI,Kertas Basuki Rachmat Indonesia Tbk,Barang Baku,Barang Baku,Perhutanan & Kertas,Kertas,Pemantauan Khusus
KDSI,Kedawung Setia Industrial Tbk,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Pengembangan
KDTN,PT Puri Sentul Permai Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pengembangan
KEEN,PT Kencana Energi Lestari Tbk.,Infrastruktur,Utilitas,Utilitas Listrik,Utilitas Listrik,Utama
KEJU,PT Mulia Boga Raya Tbk,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Produk Susu Olahan,Utama
KETR,PT Ketrosden Triasmitra Tbk,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi,Jasa Telekomunikasi Kabel,Pengembangan
KIAS,Keramika Indonesia Assosiasi Tbk,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,Pemantauan Khusus
KICI,Kedaung Indah Can Tbk,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,Perlengkapan Rumah Tangga,Pengembangan
KIJA,Kawasan Industri Jababeka Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Utama
KING,PT Hoffmen Cleanindo Tbk,Perindustrian,Jasa Perindustrian,Jasa Profesional,Jasa Personalia,Akselerasi
KINO,PT Kino Indonesia Tbk,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,Produk Perawatan Tubuh,Produk Perawatan Tubuh,Pengembangan
KIOS,PT Kioson Komersial Indonesia Tbk.,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Pengembangan
KJEN,PT Krida Jaringan Nusantara Tbk.,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,Pengembangan
KKES,PT Kusuma Kemindo Sentosa Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Pemantauan Khusus
KKGI,Resource Alam Indonesia Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Utama
KLAS,PT Pelayaran Kurnia Lautan Semesta Tbk,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,Pengembangan
KLBF,Kalbe Farma Tbk,Kesehatan,Farmasi & Riset Kesehatan,Farmasi,Farmasi,Utama
KLIN,PT Klinko Karya Imaji Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,Akselerasi
KMDS,PT Kurniamitra Duta Sentosa Tbk.,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Makanan,Pengembangan
KMTR,PT Kirana Megatara Tbk.,Barang Baku,Barang Baku,Perhutanan & Kertas,Produk Hutan Lainnya,Pengembangan
KOBX,Kobexindo Tractors Tbk,Perindustrian,Barang Perindustrian,Mesin,Mesin Konstruksi & Kendaraan Berat,Pengembangan
KOCI,PT Kokoh Exa Nusantara,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
KOIN,Kokoh Inti Arebama Tbk,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,Pemantauan Khusus
KOKA,PT Koka Indonesia Tbk.,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Pengembangan
KONI,Perdana Bangun Pusaka Tbk,Perindustrian,Jasa Perindustrian,Jasa Komersial,Peralatan Kantor,Pengembangan
KOPI,PT Mitra Energi Persada Tbk,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,Pengembangan
KOTA,PT DMS Propertindo Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Utama
KPIG,MNC Tourism Indonesia Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Utama
KRAS,Krakatau Steel (Persero) Tbk,Barang Baku,Barang Baku,Logam & Mineral,Baja & Besi,Pengembangan
KREN,PT Quantum Clovera Investama Tbk.,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Pemantauan Khusus
KRYA,PT Bangun Karya Perkasa Jaya Tbk,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Pengembangan
KSIX,PT Kentanix Supra International Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
KUAS,PT Ace Oldfields Tbk,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,Pengembangan
LABA,PT Green Power Group Tbk,Perindustrian,Barang Perindustrian,Mesin,Mesin & Komponen Perindustrian,Pengembangan
LABS,PT UBC Medical Indonesia Tbk,Kesehatan,Jasa & Peralatan Kesehatan,Peralatan & Perlengkapan Kesehatan,Penyedia & Distribusi Perlengkapan Kesehatan,Pengembangan
LAJU,PT Jasa Berdikari Logistics Tbk,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,Pengembangan
LAND,PT Trimitra Propertindo Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
LAPD,Leyand International Tbk,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Supermarket,Pengembangan
LCGP,PT Eureka Prima Jakarta Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pemantauan Khusus
LCKM,PT LCK Global Kedaton Tbk,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,Pengembangan
LEAD,PT Logindo Samudramakmur Tbk.,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,Pengembangan
LFLO,PT Imago Mulia Persada Tbk,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,Produsen Furnitur Rumah,Akselerasi
LIFE,PT MSIG Life Insurance Indonesia Tbk.,Keuangan,Asuransi,Asuransi,Asuransi Jiwa,Pengembangan
LINK,PT Link Net Tbk.,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi,Jasa Telekomunikasi Kabel,Pengembangan
LION,Lion Metal Works Tbk,Perindustrian,Jasa Perindustrian,Jasa Komersial,Peralatan Kantor,Pengembangan
LIVE,PT Homeco Victoria Makmur Tbk,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,Perlengkapan Rumah Tangga,Pengembangan
LMAS,Limas Indonesia Makmur Tbk,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Pemantauan Khusus
LMAX,PT Lupromax Pelumas Indonesia Tbk.,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif,Akselerasi
LMPI,Langgeng Makmur Industri Tbk,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,Perlengkapan Rumah Tangga,Pengembangan
LMSH,Lionmesh Prima Tbk,Barang Baku,Barang Baku,Logam & Mineral,Baja & Besi,Pemantauan Khusus
LOPI,PT Logisticsplus International Tbk,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,Akselerasi
LPCK,Lippo Cikarang Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Utama
LPGI,Lippo General Insurance Tbk,Keuangan,Asuransi,Asuransi,Asuransi Umum,Pengembangan
LPIN,Multi Prima Sejahtera Tbk,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif,Pengembangan
LPKR,Lippo Karawaci Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Utama
LPLI,Star Pacific Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
LPPF,PT MDS Retailing Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Department Store,Department Store,Utama
LPPS,PT Lenox Pasifik Investama Tbk,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Investasi,Pengembangan
LRNA,PT Eka Sari Lorena Transport Tbk.,Transportasi & Logistik,Transportasi,Pengangkutan Darat Penumpang,Transportasi Jalanan,Pengembangan
LSIP,PP London Sumatra Indonesia Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Utama
LTLS,PT Lautan Luas Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Utama
LUCK,PT Sentral Mitra Informatika Tbk.,Teknologi,Perangkat Keras & Peralatan Teknologi,Perangkat Komputer,Perangkat Komputer,Pengembangan
LUCY,PT Lima Dua Lima Tiga Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Akselerasi
MABA,PT Marga Abhinaya Abadi Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pemantauan Khusus
MAGP,Multi Agro Gemilang Plantation Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Pemantauan Khusus
MAHA,PT Mandiri Herindo Adiperkasa Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,Utama
MAIN,Malindo Feedmill Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Utama
MANG,PT Manggung Polahraya Tbk,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Akselerasi
MAPA,PT Map Aktif Adiperkasa Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Pakaian & Tekstil,Utama
MAPB,PT Map Boga Adiperkasa Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Pemantauan Khusus
MAPI,PT Mitra Adiperkasa Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Pakaian & Tekstil,Utama
MARI,PT Mahaka Radio Integra Tbk.,Barang Konsumen Non-Primer,Media & Hiburan,Media,Penyiaran,Pemantauan Khusus
MARK,PT Mark Dynamics Indonesia Tbk.,Perindustrian,Barang Perindustrian,Mesin,Mesin & Komponen Perindustrian,Utama
MASB,PT Bank Multiarta Sentosa Tbk,Keuangan,Bank,Bank,Bank,Utama
MAXI,PT Maxindo Karya Anugerah Tbk,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Pengembangan
MAYA,PT Bank Mayapada Internasional Tbk,Keuangan,Bank,Bank,Bank,Utama
MBAP,PT Mitrabara Adiperdana Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Pengembangan
MBMA,PT Merdeka Battery Materials Tbk,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya,Utama
MBSS,Mitrabahtera Segara Sejati Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,Utama
MBTO,Martina Berto Tbk,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,Produk Perawatan Tubuh,Produk Perawatan Tubuh,Pengembangan
MCAS,PT M Cash Integrasi Tbk,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Pengembangan
MCOL,PT Prima Andalan Mandiri Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Utama
MCOR,PT Bank China Construction Bank Indonesia Tbk,Keuangan,Bank,Bank,Bank,Utama
MDIA,PT Intermedia Capital Tbk.,Barang Konsumen Non-Primer,Media & Hiburan,Media,Penyiaran,Pengembangan
MDIY,PT Daya Intiguna Yasa Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,Utama
MDKA,PT Merdeka Copper Gold Tbk.,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya,Utama
MDKI,PT Emdeki Utama Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Pengembangan
MDLA,PT Medela Potentia Tbk,Kesehatan,Farmasi & Riset Kesehatan,Farmasi,Farmasi,Utama
MDLN,PT Modernland Realty Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
MDRN,Modern Internasional Tbk,Perindustrian,Jasa Perindustrian,Jasa Komersial,Peralatan Kantor,Pemantauan Khusus
MEDC,PT Medco Energi Internasional Tbk,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas,Utama
MEDS,PT Hetzer Medical Indonesia Tbk,Kesehatan,Jasa & Peralatan Kesehatan,Peralatan & Perlengkapan Kesehatan,Penyedia & Distribusi Perlengkapan Kesehatan,Pengembangan
MEGA,Bank Mega Tbk,Keuangan,Bank,Bank,Bank,Utama
MEJA,PT Harta Djaya Karya Tbk,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,Produsen Furnitur Rumah,Akselerasi
MENN,PT Menn Teknologi Indonesia Tbk.,Teknologi,Perangkat Keras & Peralatan Teknologi,"Perangkat, Instrumen & Komponen Elektronik",Perangkat & Instrumen Elektronik,Pemantauan Khusus
