symbol,name,sector,subsector,industry,subindustry,board
ATLA,PT Atlantis Subsea Indonesia Tbk,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara",Pengembangan
AUTO,Astra Otoparts Tbk,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif,Utama
AVIA,PT Avia Avian Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Khusus,Utama
AWAN,PT Era Digital Media Tbk,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Pengembangan
AXIO,PT Tera Data Indonusa Tbk,Teknologi,Perangkat Keras & Peralatan Teknologi,Perangkat Komputer,Perangkat Komputer,Pengembangan
AYAM,PT Janu Putra Sejahtera Tbk.,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Pengembangan
AYLS,PT Arkayana Lestari Grup Tbk,Barang Baku,Barang Baku,Material Konstruksi,Material Konstruksi,Pengembangan
BABP,PT Bank MNC Internasional Tbk.,Keuangan,Bank,Bank,Bank,Pengembangan
BABY,PT Multitrend Indo Tbk.,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Pakaian & Tekstil,Pengembangan
BACA,PT Bank Capital Indonesia Tbk,Keuangan,Bank,Bank,Bank,Utama
BACH,PT Bach Multi Global Tbk,Perindustrian,Jasa Perindustrian,Perdagangan Aneka Barang Perindustrian,Perdagangan Aneka Barang Perindustrian,Utama
BAIK,PT Bersama Mencapai Puncak Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Pengembangan
BAJA,Saranacentral Bajatama Tbk,Barang Baku,Barang Baku,Logam & Mineral,Baja & Besi,Pengembangan
BALI,PT Bali Towerindo Sentra Tbk.,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,Utama
BANK,PT Bank Aladin Syariah Tbk,Keuangan,Bank,Bank,Bank,Pengembangan
BAPA,Bekasi Asri Pemula Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
BAPI,PT Bhakti Agung Propertindo Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pemantauan Khusus
BATA,Sepatu Bata Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Alas Kaki,Pemantauan Khusus
BATR,PT Benteng Api Technic Tbk,Barang Baku,Barang Baku,Material Konstruksi,Material Konstruksi,Pengembangan
BAUT,PT Mitra Angkasa Sejahtera Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,Pemantauan Khusus
BAYU,Bayu Buana Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Agen Perjalanan,Utama
BBCA,PT Bank Central Asia Tbk.,Keuangan,Bank,Bank,Bank,Utama
BBHI,PT Allo Bank Indonesia Tbk,Keuangan,Bank,Bank,Bank,Utama
BBKP,PT Bank KB Indonesia Tbk,Keuangan,Bank,Bank,Bank,Pengembangan
BBLD,Buana Finance Tbk,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Pengembangan
BBMD,PT Bank Mestika Dharma Tbk.,Keuangan,Bank,Bank,Bank,Utama
BBNI,PT Bank Negara Indonesia (Persero) Tbk,Keuangan,Bank,Bank,Bank,Utama
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,Keuangan,Bank,Bank,Bank,Utama
BBRM,Pelayaran Nasional Bina Buana Raya Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,Pengembangan
BBSI,PT Krom Bank Indonesia Tbk,Keuangan,Bank,Bank,Bank,Utama
BBSS,PT Bumi Benowo Sukses Sejahtera Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
BBTN,PT Bank Tabungan Negara (Persero) Tbk,Keuangan,Bank,Bank,Bank,Utama
BBYB,PT Bank Neo Commerce Tbk.,Keuangan,Bank,Bank,Bank,Utama
BCAP,MNC Kapital Indonesia Tbk,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,Utama
BCIC,PT Bank JTrust Indonesia Tbk.,Keuangan,Bank,Bank,Bank,Pengembangan
BCIP,Bumi Citra Permai Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
BDKR,PT Berdikari Pondasi Perkasa Tbk.,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Utama
BDMN,PT Bank Danamon Indonesia Tbk,Keuangan,Bank,Bank,Bank,Utama
BEBS,PT Berkah Beton Sadaya Tbk,Barang Baku,Barang Baku,Material Konstruksi,Material Konstruksi,Pemantauan Khusus
BEEF,PT Estika Tata Tiara Tbk.,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Pengembangan
BEER,PT Jobubu Jarum Minahasa Tbk,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Keras,Pengembangan
BEKS,PT Bank Pembangunan Daerah Banten Tbk.,Keuangan,Bank,Bank,Bank,Pemantauan Khusus
BELI,PT Global Digital Niaga Tbk,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Pengembangan
BELL,PT Trisula Textile Industries Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Pengembangan
BESS,PT Batulicin Nusantara Maritim Tbk.,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,Pengembangan
BEST,Bekasi Fajar Industrial Estate Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Utama
BFIN,BFI Finance Indonesia Tbk,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Utama
BGTG,PT Bank Ganesha Tbk.,Keuangan,Bank,Bank,Bank,Utama
BHAT,PT Bhakti Multi Artha Tbk.,Keuangan,Asuransi,Asuransi,Asuransi Jiwa,Pengembangan
BHIT,PT MNC Asia Holding Tbk,Perindustrian,Perusahaan Holding Multi Sektor,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,Pemantauan Khusus
BIKA,PT Binakarya Jaya Abadi Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pemantauan Khusus
